node_id,community_num
8vk6yonj,0
8r2q3zgx,0
jp45y20j,0
xym570zx,0
xkor2768,0
jmom0mn8,0
jml1pee8,0
qjngvdd8,0
8voqy25x,0
816r2npx,0
jpo3pyk8,0
jpmzrv0j,0
j4rokod8,0
8vkm95nj,0
81q3w2pj,0
8ge7921j,0
x7md7kqx,0
jo37vzej,0
0jmz39ox,0
8vkwm72j,0
jnz9o0wj,0
j9rgdznj,0
xzlkvw48,0
jnzw9owj,0
86v6950j,0
x33g9k6x,0
8vo1evnx,0
xz94z098,0
8l45yz7j,0
48gqgg7j,0
8r2ew46x,0
8636ll08,0
j92o9p78,0
jn9p1nwx,0
18v7w528,0
8l0r30r8,0
8en01g28,0
xyrm75vj,0
j420o4lx,0
j0vg0pwx,0
8663zzw8,0
7j4ddqdj,0
jpm07w2j,0
xz9keen8,0
8v2rrv2j,0
xz7og74j,0
j0nv7gr8,0
j0nez9r8,0
xkmn0y7j,0
j92z3978,0
86nq76px,0
j5vy3pq8,0
8r23v6dx,0
xyrmznvj,0
x3q0og6j,0
8q3rz0wj,0
866p1kw8,0
jn92l3wx,0
j96lpowj,0
8e9zdk7j,0
jmlzqzo8,0
8l071pv8,0
j2yl62l8,0
xkoyd3k8,0
86vprowj,0
jn93z1qx,0
x3qle7qj,0
j2y91v68,0
8vo4pwnx,0
8g5ggz2j,0
jo3nr03j,0
x3m0wq68,0
y8dgkg86,0
j4qeoylx,0
jn3dqw2x,0
qxk9vk98,0
joprz93x,0
x3mk6528,0
8q3256oj,0
8gr6671x,0
8d3d6z9x,0
8dw75rlj,0
v81ewopj,0
0jmqgzox,0
8q6rnmdj,0
8d3q1qox,0
j06gz19j,0
8r7vm36j,0
18qqww78,0
j0vnr23x,0
8d0lo7gx,0
8dwnek5j,0
81q1ggqj,0
xko9p478,0
8w0knvqj,0
8qrg2pqj,0
8l4pgn7j,0
qjolnl3j,0
jo29wr78,0
8d42kom8,0
xym5romx,0
jp4gg24j,0
j236l6px,0
pj0y77wx,0
j06nemwj,0
8geoyepj,0
j960697j,0
8dwmq7oj,0
8g0yrdpx,0
j9pzo0ox,0
86vwd60j,0
j4rvrqm8,0
j4q7q1dx,0
8dwvd1gj,0
86n4pqpx,0
xz7qw64j,0
8l3n16r8,0
8ene7978,0
8dgkvgm8,0
8r77z23j,0
18v277vj,0
j2y13478,0
8en20m68,0
86ndpn5x,0
j2w1446j,0
jmokl7z8,0
xz940398,0
8l4zmn7j,0
8d3pzdlx,0
8v534q2j,0
8vo5vp2x,0
8d4rm358,0
jo366mnj,0
j4ql7owx,0
j0gmq9mx,0
8vo93e5x,0
j2w3497j,0
kjpovl08,0
j0ngy7m8,0
jmlg7mz8,0
8wlwl7vj,0
jn911rdx,0
jpr64948,0
jo31z70j,0
o8601gw8,0
j9ro42vj,0
8d433m98,0
v815gzlj,0
8r2rr0qx,0
8w1rgllx,0
8w1o6rzx,0
xk4e2p2j,0
xy5pk6m8,0
8v5ee1nj,0
qjo3y9nj,0
8vk5wwnj,0
j4rv51m8,0
8vkyg65j,0
j92mqoo8,0
j4rykrw8,0
j924ego8,0
j52e17gj,0
8e66lldj,0
x726rm08,0
8gr3vmrx,0
8qz62l78,0
8d311o5x,0
x3m1q968,0
xylmw4yj,0
j9rmrzrj,0
qjnyp018,0
x3q0wk2j,0
8qr4q0oj,0
7j43eew8,0
jp6q95k8,0
x72ke968,0
j4r11e58,0
xz0n2me8,0
814k9p38,0
jn2p544j,0
jn3lv41x,0
8e64q7dj,0
8d4o54l8,0
jn2olgdj,0
jmo56ro8,0
8633kk08,0
7j4k3d5x,0
8wkyrrv8,0
8dw1405j,0
814q0wp8,0
j4q7wpmx,0
j5wp05nj,0
86vzn05j,0
jp4ovdkj,0
xko9z4k8,0
j9re3loj,0
x72w22q8,0
xyrgpwwj,0
8qr5yd7j,0
xy5nlrn8,0
j96k777j,0
81qdwz3j,0
j23ryolx,0
jn3r3g4x,0
8e9ylq2j,0
zx73w2rj,0
v81gzl38,0
j26rdn7x,0
8lpor22j,0
xyoqmezj,0
xz0y3k48,0
98r9nww8,0
x3qvr0ej,0
e8emo3dx,0
j236v16x,0
jmz7oeox,0
8en532d8,0
jmolwoe8,0
8vo1d1ex,0
8dwz19gj,0
jnzmz34j,0
86np2ywx,0
jpoo2n08,0
kjpv3v2j,0
x72kp4r8,0
863k0e08,0
8en1pq28,0
j03y3zrj,0
j266v9ox,0
zxzpnv4j,0
8w0qgwzj,0
j5q901zj,0
8l3ykmr8,0
8r21pzgx,0
jmon5vo8,0
8661d458,0
jo2qd178,0
xylompzj,0
8w1qo1qx,0
j2w004lj,0
8gel6gyj,0
8d494158,0
xkm2n77j,0
8w1orozx,0
810v5mqx,0
864w3e3j,0
8vod1mex,0
j9525lv8,0
xyrw7ewj,0
j96559nj,0
8qz22eq8,0
18vn13vj,0
jop5go0x,0
xyln06yj,0
8vo1pr2x,0
xkmkn62j,0
18q5woo8,0
8en2ywp8,0
8g5oyq1j,0
qxkomr78,0
xylomyyj,0
8wkqoq48,0
x721e9v8,0
j2wze97j,0
qxkn0r7x,0
866q0g58,0
j4qkzyvx,0
8d4kkvg8,0
jpm9724j,0
j96ry77j,0
xz7qv10j,0
j51q5dw8,0
jp440n2j,0
48gy49r8,0
j4r9qmd8,0
j4rg4od8,0
j9r1gmrj,0
jmono2o8,0
8e65wz6j,0
8lp3n47j,0
jn3lo12x,0
8rpv9mwj,0
x7qonwr8,0
8e603gdj,0
jp47z52j,0
jpr6wpk8,0
8vkg93ej,0
x7q5l2v8,0
8q3w63oj,0
48g7g1y8,0
8lponqrj,0
8en3pq78,0
8v5221nj,0
8e90326j,0
j23vv67x,0
8geq4m2j,0
xyldwomj,0
j51o1wn8,0
xk31gw28,0
xympe0yx,0
8wkdvvq8,0
j51popq8,0
jp4p2o2j,0
j2yk30l8,0
j4q1qz5x,0
xz1no5rj,0
jo36253j,0
jp4pr7yj,0
8g5o1p1j,0
zx7vwdqx,0
jnz6zy2j,0
xy5gr6y8,0
xk4ndm7j,0
7j46elw8,0
8rpo576j,0
8d3p7mgx,0
8en2l1d8,0
xzlml498,0
j26kol7x,0
qjo010j6,0
8gelpopj,0
xyl1ywnj,0
8r33eg68,0
18vm64e8,0
xkodk228,0
8d300d5x,0
8qony27j,0
8qrympdj,0
81k46wqj,0
j42e2kdx,0
xkom55m8,0
xko905m8,0
xzlg3p98,0
j9rkmovj,0
x3myg268,0
x3qkzd2j,0
j0vpkd9x,0
8w9gvr4j,0
j20q2q7x,0
xy50d4z8,0
xz7n9rrj,0
jp4p2mkj,0
jo36my7j,0
jn903q4x,0
jnzn1r2j,0
8d3l4d9x,0
j26gqolx,0
