index,community_num,num_users,user_num_games,num_users_zscore,user_num_games_zscore,avg_num_games_played
0,0,58209,5033,24.7006446621107,15.688505817356166,0.08646429246336478
1,1,51911,10664,22.019081394170183,33.30547149377149,0.20542852189324035
2,2,49291,5657,20.90353744974272,17.640732168285517,0.11476740175691302
3,3,18478,1682,7.783974259039145,5.20467488472115,0.09102716744236389
4,4,9885,425,4.1252455893959485,1.2720650720317401,0.042994436014162876
5,5,6719,180,2.7772256931908563,0.5055659438623642,0.026789700848340526
6,6,6570,96,2.7137844536031874,0.2427662427757211,0.014611872146118721
7,7,6389,259,2.636718249808771,0.7527228055986119,0.04053842541868837
8,8,6418,27,2.6490658736211365,0.02689505974026418,0.004206918043004051
9,9,5331,181,2.186242870723178,0.5086945117324433,0.033952354154942785
10,10,5314,183,2.179004608488343,0.5149516474726015,0.034437335340609714
11,11,5136,44,2.1032157450883098,0.08008071353160863,0.008566978193146417
12,12,4670,264,1.9048022038275476,0.7683656449490074,0.05653104925053533
13,13,4536,73,1.8477476662117918,0.1708091817639021,0.01609347442680776
14,14,4297,103,1.7459862147926455,0.2646662178662747,0.023970211775657436
15,15,4010,133,1.6237873170633776,0.35852325396864726,0.03316708229426434
16,16,4000,25,1.619529515748769,0.020637924000106007,0.00625
17,17,3711,89,1.4964790577565796,0.22086626768516748,0.0239827539746699
18,18,3578,169,1.4398503002722847,0.47115169729149425,0.04723309111235327
19,19,3549,12,1.4275026764599197,-0.0200334583109221,0.0033812341504649195
20,20,3369,140,1.3508622527969643,0.38042322905920084,0.04155535767289997
21,21,3183,169,1.2716671483452437,0.47115169729149425,0.053094564875903236
22,22,2967,145,1.1796986399496974,0.3960660684095963,0.04887091338051904
23,23,2915,131,1.1575580731137325,0.3522661182284891,0.04493996569468268
24,24,2924,9,1.1613900942968802,-0.02941916192115936,0.0030779753761969904
25,25,2665,155,1.0511130402485167,0.4273517471103871,0.058161350844277676
26,26,2600,105,1.0234373317035605,0.2709233536064328,0.04038461538461539
27,27,2464,130,0.9655312338248832,0.34913755035841,0.052759740259740256
28,28,2448,137,0.9587187517215093,0.37103752544896357,0.0559640522875817
29,29,2362,197,0.9221016604158752,0.5587515976537086,0.0834038950042337
30,30,2398,120,0.9374297451484662,0.31785187165761913,0.05004170141784821
31,31,2396,99,0.9365781848855445,0.25215194638595834,0.041318864774624375
32,32,2314,76,0.9016642141057537,0.18019488537413939,0.032843560933448576
33,33,2299,7,0.8952775121338408,-0.03567629766131753,0.003044802087864289
34,34,2190,29,0.8488674778046068,0.03315219548042235,0.013242009132420091
35,35,1991,111,0.764137231643895,0.28969476082690737,0.055750878955298844
36,36,1895,121,0.7232623390236521,0.3209804395276982,0.06385224274406333
37,37,1842,112,0.7006959920562263,0.29282332869698646,0.06080347448425624
38,38,1917,25,0.7326295019157911,0.020637924000106007,0.013041210224308816
39,39,1805,130,0.6849421271921744,0.34913755035841,0.07202216066481995
40,40,1690,128,0.6359774120741751,0.3428804146182518,0.0757396449704142
41,41,1564,94,0.5823291155101065,0.2365091070355629,0.06010230179028133
42,42,1574,43,0.5865869168247151,0.07695214566152955,0.027318932655654382
43,43,1489,49,0.5503956056505417,0.09572355288200406,0.03290799194089993
44,44,1377,81,0.502708230926925,0.1958377247245348,0.058823529411764705
45,45,1396,50,0.5107980534246814,0.09885212075208315,0.03581661891117478
46,46,1342,66,0.4878059263257948,0.14890920667334853,0.04918032786885246
47,47,796,421,0.25532997454816353,1.259550800551424,0.5288944723618091
48,48,997,77,0.34091178097179703,0.18332345324421845,0.07723169508525576
49,49,741,67,0.23191206731781605,0.1520377745434276,0.09041835357624832
50,50,739,24,0.2310605070548943,0.017509356130026923,0.03247631935047361
51,51,628,63,0.1837989124627385,0.13952350306311126,0.10031847133757962
52,52,539,94,0.14590448076272167,0.2365091070355629,0.17439703153988867
