Source,Target,Weight
0,23,368
0,74,49
0,110,26
0,162,2
0,64,83
0,16,47
0,8,11
0,68,5
0,102,5
0,29,2
0,118,3
0,107,2
0,117,8
0,38,4
0,62,1
0,82,1
0,66,1
0,21,1
23,8,290373
23,74,129170
23,16,129015
23,29,102677
23,46,30699
23,3,36171
23,70,2437
23,27,12117
23,45,8620
23,76,3946
23,38,71374
23,0,368
23,68,15091
23,41,1004
23,20,1303
23,14,4651
23,33,6101
23,136,81
23,66,6940
23,81,5817
23,21,10124
23,90,5249
23,71,6150
23,39,7042
23,140,1751
23,11,1030
23,62,1301
23,98,4074
23,105,118
23,57,1449
23,75,2884
23,128,228
23,69,16305
23,146,5047
23,129,2728
23,169,23
23,110,3146
23,114,2507
23,15,4007
23,55,4327
23,19,1524
23,88,2435
23,47,6491
23,102,11808
23,134,3083
23,26,5036
23,28,10093
23,25,7182
23,5,1325
23,9,5177
23,17,644
23,24,3134
23,78,143
23,64,1535
23,107,1321
23,82,1740
23,37,630
23,119,680
23,7,1713
23,95,1579
23,48,806
23,35,546
23,42,3686
23,18,735
23,34,479
23,72,1337
23,133,287
23,126,2612
23,92,388
23,159,76
23,97,952
23,43,1349
23,122,208
23,111,211
23,152,88
23,51,1194
23,123,122
23,125,369
23,116,321
23,118,177
23,109,999
23,100,169
23,56,37
23,103,70
23,121,360
23,58,7164
23,160,160
23,112,231
23,202,110
23,31,455
23,49,61
23,4,550
23,65,410
23,108,878
23,93,795
23,50,126
23,143,339
23,89,256
23,10,153
23,120,420
23,36,120
23,22,57
23,12,42
23,184,14
23,210,2
23,86,160
23,106,9
23,130,51
23,87,1074
23,80,280
23,79,53
23,151,93
23,175,235
23,13,199
23,191,72
23,124,15
23,195,2
23,139,84
23,147,499
23,135,27
23,204,13
23,154,24
23,73,6
23,104,20
23,96,9
23,164,11
23,101,144
23,1,14
23,63,176
23,144,107
23,155,4
23,6,82
23,182,45
23,40,25
23,173,33
23,52,108
23,206,1
23,177,9
23,234,73
23,117,48
23,60,287
23,161,2
23,238,31
23,30,162
23,253,7
23,94,21
23,165,31
23,156,5
23,138,9
23,212,24
23,113,3
23,237,7
23,248,3
23,167,16
23,193,10
23,271,2
23,44,5
23,157,2
23,168,1
23,163,37
23,242,2
23,231,4
23,137,9
23,59,7
23,209,4
23,131,37
23,141,57
23,259,1
23,188,6
23,216,2
23,83,9
23,220,23
23,67,3
23,148,16
23,85,21
23,240,3
23,249,2
23,166,6
23,219,6
23,150,36
23,246,4
23,183,8
23,179,10
23,162,2
23,199,2
23,84,3
23,61,6
23,276,4
23,181,1
23,254,2
23,197,6
23,180,12
23,225,2
23,200,37
23,196,10
23,274,6
23,194,1
23,279,4
23,145,96
23,192,16
23,77,16
23,91,45
23,213,27
23,236,2
23,252,1
23,256,2
23,190,4
23,233,2
