user,game_id,category_id,level_id,time,date,emulated
48g3117x,j1lkgv6g,ndxp3jo2,None,13772,2021-05-01,False
48g3117x,lde3vol6,9d8ev97d,None,2511,2021-01-20,False
48g3117x,lde3vol6,9d8ev97d,None,1913,2021-03-06,False
48g3117x,lde3vol6,9d8ev97d,None,1827,2021-03-08,False
48g3117x,lde3vol6,9d8ev97d,None,1696,2021-07-23,False
48g3117x,lde3vol6,9d8ev97d,None,1742,2021-03-27,False
48g3117x,lde3vol6,9d8ev97d,None,1678,2021-08-08,False
48g3117x,4d7nkqz6,w208y15d,None,10025,2021-04-05,False
48g3117x,j1lqlwz6,xd11w54d,None,1125,2021-06-04,False
48g3117x,j1lqlwz6,xd11w54d,None,808,2021-06-06,False
48g3117x,j1lqlwz6,xd11w54d,None,1851,2021-05-24,False
48g3117x,j1lqlwz6,xd11w54d,None,765,2021-06-08,False
48g3117x,j1lqlwz6,xd11w54d,None,1279,2021-05-26,False
48g3117x,j1lqlwz6,xd11w54d,None,1389,2021-06-14,False
48g3117x,j1lqlwz6,xd11w54d,None,1526,2021-05-27,False
48g3117x,j1lqlwz6,xd11w54d,None,1368,2021-06-16,False
48g3117x,j1lqlwz6,xd11w54d,None,1638,2021-05-29,False
48g3117x,j1lqlwz6,xd11w54d,None,1351,2021-06-21,False
48g3117x,j1lqlwz6,xd11w54d,None,1525,2021-05-30,False
48g3117x,j1lqlwz6,xd11w54d,None,1458,2021-06-01,False
48g3117x,j1lq9w76,w20q43vd,None,9813,2021-11-21,False
48g3117x,j1lq9w76,w20q43vd,None,7077,2021-11-26,False
48g3117x,k6qwrzm6,9d8lyv72,None,740.633,2022-02-28,False
48g3117x,k6qwrzm6,9d8lyv72,None,760.81,2022-02-23,False
48g3117x,k6qwrzm6,9d8lyv72,None,774.43,2022-02-20,False
48g3117x,9d38q591,9kvrqr32,None,9779,2022-06-17,False
48g3117x,9d38q591,02q7p6yd,5927nz3w,427,2022-10-10,False
