index,source,target,connection
0,2680wo1p,pd0q24v1,0
1,2682456p,9d3l39dl,0
2,2682456p,kdkz7xxd,0
3,2682n96p,j1n8j7y1,0
4,2682rk6p,o1yexkdq,0
5,268427dp,pd0qk5w1,0
6,268487dp,36904g6l,0
7,2684n7dp,w6j7n876,0
8,2684podp,9d3rwo9d,0
9,2685py6p,4d733r17,0
10,268779dp,y654478d,0
11,2687jydp,j1ll5kz1,0
12,2687r9dp,9dowy4o1,0
13,2687wkdp,46w2no96,0
14,26887k6p,3dx28rp1,0
15,2688e76p,pd0q5901,0
16,2688e76p,pd0yll6e,0
17,2688py6p,4d79rol1,0
18,2688py6p,9dopz36p,0
19,2688py6p,kdkmo4q1,0
20,2688py6p,pdv2kjr6,0
21,2688ro6p,yd4np56e,0
22,2688v96p,268w27k6,0
23,2688v96p,j1l737dg,0
24,2688v96p,m1mxoq46,0
25,2688xy6p,y65wr06e,0
26,2688zy6p,46wool1r,0
27,26893y1p,2689g71p,0
28,26893y1p,v1pxj846,0
29,2689591p,m1mnmo3d,0
30,2689r71p,j1n8gge1,0
31,2689v51p,m1mxp536,0
32,2689z91p,j1ll88j1,0
33,268e02y6,nd280g5d,0
34,268e0576,4d7nz0r6,0
35,268e0j96,m1mekkd2,0
36,268e2456,j1nem391,0
37,268e2j56,m1zj8gm6,0
38,268e3776,y65l9e1e,0
39,268e3996,76rxwr56,0
40,268e3996,y655w3e6,0
41,268e3e96,qw6jn71j,0
42,268e3ry6,9d3ee01l,0
43,268e4r56,j1negze1,0
44,268e4wk6,46w3vwl1,0
45,268e5376,m1mnxrxd,0
46,268e556p,j1lq076g,0
47,268e59y6,76r3xn56,0
48,268e5k56,m1m48j12,0
49,268e5m56,j1nezvx1,0
50,268e5ok6,j1n8j4x1,0
51,268e90k6,m1zyrm60,0
52,268e9mk6,9d38oxy1,0
53,268e9q76,3698j2dl,0
54,268ee8k6,3dxkk8p1,0
55,268eew96,o1y9wwv6,0
56,268eg4y6,j1n84pe1,0
57,268ege56,268w9mk6,0
58,268egk76,pdvzz2k6,0
59,268ejv76,2680g51p,0
60,268ek8y6,9d3rpgwd,0
61,268el276,m1mx3jj6,0
62,268elq56,v1pxek86,0
63,268emg56,369p0r31,0
64,268emg56,j1ll7qz1,0
65,268emqk6,w6jlkyxd,0
66,268eneo6,j1lnv46g,0
67,268enyo6,9do87z71,0
68,268eony6,w6jl7qxd,0
