,Recall,Precision,F1-Score
1,0.1421232876712329,0.37303370786516854,0.20582765034097952
2,0.2191780821917808,0.34594594594594597,0.26834381551362685
3,0.269263698630137,0.32897489539748953,0.29613935969868177
4,0.2966609589041096,0.31457103949160237,0.3053536021150033
5,0.3253424657534247,0.3117309269893355,0.31839128613322165
6,0.3450342465753425,0.30822179732313576,0.3255907897394466
7,0.3604452054794521,0.3058481656374864,0.33090980546276283
8,0.3711472602739726,0.30209059233449476,0.3330772185939301
9,0.3801369863013699,0.2992922143579373,0.334904770884405
10,0.3878424657534247,0.2974392646093237,0.33667781493868454
11,0.3959760273972603,0.295810681164055,0.33864177192019035
12,0.401541095890411,0.2937676166614469,0.3393018629046844
13,0.4071061643835616,0.2929759704251386,0.34073808670727335
14,0.4118150684931507,0.2916919345057611,0.34149804756833513
15,0.4148116438356164,0.2896860986547085,0.3411371237458194
16,0.4190924657534247,0.2888757745647684,0.34200873362445416
17,0.4216609589041096,0.28733955659276544,0.3417765440666204
18,0.4259417808219178,0.28732313023390127,0.34316261424383515
19,0.4272260273972603,0.28579610538373423,0.34248455730954014
20,0.4293664383561644,0.2844583096993761,0.3422040259297169
