k,Recall,Precision,F1-Score
1,0.36682423721529867,0.602314422805532,0.45595854922279794
2,0.5149978513107005,0.5520545421042934,0.5328827426741964
3,0.6025784271594328,0.5249719206289779,0.5611044417767106
4,0.6682423721529867,0.5103045418745078,0.5786907818838153
5,0.7141383755908896,0.49715790103512236,0.5862141950049387
6,0.7559948431456811,0.48850383205598136,0.5935022435140515
7,0.787795444778685,0.4802473016871005,0.5967253670127926
8,0.8132359260850881,0.47347878302642116,0.5985009013567792
9,0.8354103996562097,0.4678475163650366,0.5997963654314893
10,0.8574989256553502,0.4642624476500698,0.6023849056603774
11,0.8743446497636441,0.460462589960621,0.6032376660341556
12,0.8906746884400516,0.45817490494296575,0.6050856859253204
13,0.903308981521272,0.45460443790821403,0.6048224664786787
14,0.9130210571551354,0.45163896092853195,0.6043349641597452
15,0.9236785560807907,0.4495524136200117,0.6047663262147942
16,0.9332187365706919,0.44801122297408813,0.6053915419140811
17,0.9406102277610657,0.44558446317332356,0.6047077025085644
18,0.946540610227761,0.44367899444041575,0.6041638094193159
19,0.9516115169746455,0.44196072169886635,0.6035925532204868
20,0.9561667382896433,0.44061150936670757,0.6032425984166576
