Source,Target,Weight
550,1038,116
550,204,441
550,540,59
550,901,700
550,937,141
550,301,113
550,623,1664
550,101,180
550,849,1816
550,518,30
550,605,935
550,62,88
550,836,25
550,678,28
550,492,56
550,748,131
550,683,80
550,722,139
550,390,396
550,758,81
550,24,983
550,229,26
550,482,84
550,894,314
550,635,13
550,624,281
550,529,94
550,773,21
550,780,90
550,593,176
550,83,115
550,934,84
550,1042,227
550,707,29
550,542,186
550,725,61
550,911,36
550,130,341
550,698,15
550,213,57
550,778,25
550,728,29
550,404,56
550,421,77
550,358,20
550,1114,80
550,312,215
550,551,48
550,1066,206
550,7,16
550,644,7
550,1119,23
550,877,78
550,493,22
550,333,235
550,639,56
550,665,11
550,963,25
550,768,27
550,928,39
550,553,17
550,741,42
550,530,9
550,15,25
550,710,36
550,818,15
550,175,12
550,804,22
550,1006,18
550,458,22
550,809,37
550,499,3
550,602,19
550,866,4
550,862,7
550,838,7
550,917,1
1038,894,361
1038,934,43
1038,24,116
1038,804,4
1038,593,56
1038,550,57
1038,1114,3
1038,722,97
1038,301,57
1038,624,100
1038,529,13
1038,101,2
1038,665,2
1038,849,18
1038,404,12
1038,728,7
1038,639,24
1038,333,41
1038,1006,6
1038,780,11
1038,758,8
1038,877,12
1038,623,15
1038,213,8
1038,15,6
1038,204,27
1038,725,10
1038,175,3
1038,1066,9
1038,710,3
1038,809,2
1038,901,19
1038,683,4
1038,1042,7
1038,741,3
1038,518,7
1038,540,9
1038,553,3
1038,698,7
1038,130,1
1038,482,5
1038,707,4
1038,358,1
1038,62,4
1038,937,4
1038,1119,2
1038,605,8
1038,458,2
1038,542,9
1038,748,1
1038,678,2
1038,530,2
1038,83,2
1038,778,2
1038,911,2
1038,312,1
1038,493,3
1038,492,3
1038,836,2
1038,602,1
1038,768,1
1038,551,1
1038,818,1
204,312,72
204,550,416
204,404,60
204,24,366
204,83,169
204,678,93
204,623,454
204,605,336
204,849,323
204,301,54
204,725,115
204,928,23
204,175,8
204,722,30
204,482,211
204,1042,356
204,540,81
204,901,531
204,683,245
204,229,45
204,624,113
204,333,111
204,894,169
204,707,16
204,758,13
204,518,21
204,358,23
204,542,202
204,773,44
204,934,78
204,529,50
204,101,89
204,728,17
204,911,88
204,639,61
204,593,100
204,748,18
204,809,67
204,877,41
204,130,46
204,804,36
204,644,7
204,665,25
204,62,24
204,390,54
204,937,34
204,1066,59
204,530,20
204,553,3
204,780,89
204,818,22
204,421,31
204,741,21
204,1114,14
204,1006,8
204,963,24
204,778,15
204,710,24
