,community_num,num_users,num_games,num_users_zscore,num_games_zscore,avg_num_games_played,top_demographic,most_increased_demographic
0,0,30327,2362,7.3805607521165095,3.320838765871717,0.07788439344478518,US,US
1,1,24432,4796,5.861475998788648,6.980318268116194,0.19629993451211525,US,NONE
2,2,20530,7388,4.855968160368747,10.877348206414338,0.35986361422308816,US,US
3,3,14490,1562,3.299518302845374,2.1180517478784626,0.10779848171152519,US,BR
4,4,15247,134,3.49458991578332,-0.02892307923949687,0.008788614153603987,NONE,NONE
5,5,12509,738,2.789033672422559,0.8791811193454103,0.05899752178431529,US,US
6,6,10721,237,2.3282832841358383,0.12593574932713464,0.022106146814662813,US,PL
7,7,9920,785,2.121873294752358,0.9498448566525141,0.07913306451612903,US,RU
8,8,10003,89,2.143261595774616,-0.09657984900161744,0.008897330800759773,US,NONE
9,9,8348,1093,1.7167840271982615,1.412917858579917,0.13092956396741734,US,RU
10,10,7731,147,1.5577890665870162,-0.009377790197106486,0.019014357780364765,US,NONE
11,11,7052,363,1.3828173028025177,0.3153747046610722,0.051474758933635845,US,US
12,12,6128,1103,1.144711397446293,1.4279526963048326,0.1799934725848564,US,GB
13,13,6589,228,1.2635066597506432,0.11240439537471053,0.034603126422825925,NONE,NONE
14,14,6002,115,1.1122424103522623,-0.057489270916836664,0.019160279906697768,US,NONE
15,15,5259,804,0.9207784626469865,0.9784110483298538,0.1528807758128922,US,US
16,16,5687,28,1.0310699426171859,-0.1882923591236031,0.004923509759099701,NONE,SE
17,17,4461,23,0.7151415443847925,-0.19580977798606092,0.0051557946648733465,NONE,NONE
18,18,4156,304,0.6365459803873373,0.2266691620840697,0.07314725697786333,US,US
19,19,4409,49,0.7017416449491608,-0.15671919990128017,0.011113631208890905,NONE,NONE
20,20,4359,79,0.6888571262610533,-0.11161468672653312,0.018123422803395274,US,US
21,21,3959,224,0.5857809767561942,0.10639046028474425,0.05657994443041172,US,PL
22,22,4141,28,0.6326806247809051,-0.1882923591236031,0.006761651774933591,US,DE
23,23,3935,74,0.5795964077859027,-0.11913210558899096,0.01880559085133418,US,JP
24,24,3324,434,0.42214758941723024,0.4221220525079735,0.1305655836341757,US,US
25,25,3439,141,0.4517819823998772,-0.018398692832055894,0.04100029078220413,US,NONE
26,26,3495,17,0.4662126433305575,-0.20483068062101034,0.004864091559370529,NONE,NONE
27,27,2983,511,0.3342751719643378,0.5378903029898243,0.1713040563191418,US,US
28,28,3304,57,0.4169937819419873,-0.1446913297213476,0.01725181598062954,US,AR
29,29,3185,88,0.3863286274642917,-0.09808333277410901,0.027629513343799057,NONE,RU
30,30,2829,294,0.294590854404967,0.21163432435915402,0.10392364793213149,US,JP
31,31,2960,82,0.3283482933678084,-0.1071042354090584,0.027702702702702704,US,NONE
32,32,2578,238,0.22991057059066788,0.1274392330996262,0.09231962761830877,US,US
33,33,2180,565,0.12734980183333303,0.619078426704369,0.2591743119266055,US,FR
34,34,2543,59,0.22089140750899272,-0.1416843621763645,0.02320094376720409,US,TR
35,35,2480,110,0.20465691396197738,-0.06500668977929451,0.04435483870967742,US,GB
36,36,2314,242,0.16188031191746083,0.1334531681895925,0.10458081244598098,US,US
37,37,2355,81,0.1724456172417089,-0.10860771918154997,0.034394904458598725,US,US
38,38,2343,92,0.16935333275656314,-0.09206939768414273,0.039265898420828,US,FR
39,39,2152,227,0.12013447136799288,0.11090091160221896,0.10548327137546469,US,US
40,40,2296,57,0.15724188518974216,-0.1446913297213476,0.024825783972125436,US,TR
41,41,2191,127,0.13018439594471665,-0.039447465646937845,0.05796439981743496,US,JP
42,42,2222,36,0.13817279753134323,-0.17626448894367053,0.016201620162016202,NONE,NONE
43,43,2143,46,0.11781525800413355,-0.16122965121875485,0.021465235650956604,US,US
44,44,2000,57,0.0809655345561464,-0.1446913297213476,0.0285,US,FR
45,45,1713,266,0.007008397286409944,0.1695367787293901,0.15528312901342672,US,FI
46,46,1883,79,0.05081576082597509,-0.11161468672653312,0.04195432819968136,US,RU
47,47,1844,49,0.04076583624925132,-0.15671919990128017,0.026572668112798264,US,US
48,48,1786,26,0.02581979457104674,-0.19129932666858623,0.014557670772676373,NONE,NONE
49,49,1735,62,0.012677585509177199,-0.13717391085888977,0.035734870317002884,US,CN
50,50,1555,94,-0.03370668176800943,-0.0890624301391596,0.06045016077170418,US,AR
51,51,1496,79,-0.04891041381997615,-0.11161468672653312,0.052807486631016046,US,BR
52,52,1459,37,-0.05844495764917563,-0.17476100517117898,0.025359835503769704,US,DE
53,53,1463,32,-0.05741419615412703,-0.1822784240336368,0.021872863978127138,US,MX
54,54,1238,159,-0.11539453025061032,0.00866401507279233,0.1284329563812601,US,CN
55,55,1308,53,-0.09735620408725996,-0.15070526481131388,0.040519877675840976,US,US
56,56,1212,47,-0.12209447996842616,-0.15972616744626328,0.038778877887788776,US,FR
