Source,Target,Weight
24,54,12
24,73,8
24,13,43
24,4,50
24,0,704
24,51,10
24,9,65
24,62,9
24,18,75
24,49,11
24,16,28
24,1,247
24,10,20
24,6,65
24,36,24
24,45,75
24,12,162
24,32,50
24,67,6
24,2,213
24,5,115
24,57,6
24,14,21
24,3,86
24,65,7
24,113,1
24,27,35
24,15,36
24,87,4
24,21,28
24,20,38
24,7,147
24,23,18
24,31,23
24,29,14
24,47,5
24,35,15
24,42,6
24,34,14
24,59,8
24,25,29
24,11,57
24,38,20
24,30,40
24,39,8
24,50,15
24,133,2
24,33,30
24,26,6
24,75,6
24,8,21
24,48,7
24,55,7
24,83,6
24,66,2
24,44,8
24,58,3
24,60,3
24,82,7
24,52,4
24,19,6
24,95,1
24,78,6
24,79,3
24,37,13
24,88,1
24,63,10
24,28,13
24,53,16
24,84,5
24,71,7
24,41,7
24,160,1
24,43,9
24,76,1
24,56,11
24,86,3
24,77,2
24,93,3
24,40,5
24,61,3
24,68,7
24,22,3
24,99,2
24,101,1
24,74,3
24,89,3
24,80,1
24,97,1
24,17,1
24,81,1
24,102,1
24,90,2
24,91,1
24,117,1
24,46,5
24,94,1
24,69,2
24,142,1
24,72,3
24,155,1
24,85,1
24,96,1
54,0,109
54,7,32
54,5,38
54,52,2
54,100,1
54,4,13
54,35,7
54,30,18
54,2,69
54,9,46
54,11,14
54,1,89
54,20,16
54,28,8
54,10,18
54,51,10
54,16,6
54,14,7
54,6,21
54,18,6
54,13,8
54,21,15
54,46,1
54,79,2
54,58,4
54,57,4
54,74,1
54,15,12
54,62,3
54,33,8
54,12,27
54,38,5
54,17,2
54,39,12
54,3,21
54,23,5
54,25,6
54,37,4
54,31,6
54,60,3
54,24,3
54,29,8
54,8,3
54,49,8
54,50,5
54,118,1
54,45,5
54,26,4
54,73,4
54,32,6
54,40,3
54,36,3
54,87,2
54,22,1
54,63,2
54,34,5
54,27,4
54,42,5
54,41,1
54,76,1
54,44,8
54,95,2
54,56,1
54,43,4
54,68,1
54,78,2
54,55,2
54,47,3
54,88,1
54,53,3
54,83,1
54,157,1
54,131,1
54,116,1
54,59,1
54,66,1
73,1,25
73,40,1
73,11,17
73,62,2
73,0,37
73,30,3
73,53,7
73,15,1
73,2,11
73,9,6
73,13,5
73,61,2
73,39,1
73,18,4
73,6,8
73,7,15
73,52,3
73,38,3
73,21,3
73,42,6
73,68,3
73,50,6
73,25,7
73,66,2
73,51,3
73,44,4
73,14,5
73,24,9
73,10,9
73,5,7
73,4,6
73,57,3
73,19,1
73,90,1
73,22,3
73,67,4
73,33,1
73,12,4
73,46,1
73,28,1
73,49,6
73,37,2
73,47,4
73,48,2
73,3,7
73,54,1
73,23,2
73,27,2
73,20,6
73,16,3
73,8,4
73,35,2
73,36,1
73,26,2
73,55,1
73,34,2
73,41,1
73,59,1
73,63,1
73,65,3
73,76,1
73,45,2
73,17,1
73,56,1
73,82,1
13,16,32
13,7,81
13,41,5
13,5,34
13,30,53
13,34,13
13,85,2
13,3,88
13,0,220
13,73,4
13,18,16
13,54,8
13,76,1
13,33,10
13,1,238
13,4,99
13,29,55
13,45,2
13,47,14
13,21,22
13,11,51
13,71,2
13,66,7
13,67,2
13,6,112
13,19,69
13,31,43
13,2,51
13,8,26
13,61,4
13,17,15
13,53,27
13,50,29
13,14,47
13,40,13
13,65,8
13,42,28
13,32,11
13,12,21
13,79,7
13,36,16
13,10,37
13,25,38
13,59,10
13,37,8
13,83,2
13,51,8
13,9,37
13,23,36
13,118,1
13,24,23
13,87,4
13,74,3
13,60,5
13,20,40
13,63,8
13,28,8
13,82,11
13,26,20
13,62,9
13,49,10
13,27,3
13,39,9
13,70,2
13,38,4
13,44,5
13,103,2
13,52,5
13,35,8
13,56,3
13,90,1
13,88,3
13,15,5
13,46,7
13,43,3
13,55,4
13,72,5
13,75,1
13,58,4
13,22,2
13,94,1
13,167,1
13,95,1
13,105,1
13,113,1
13,142,1
13,68,4
13,130,1
13,78,1
0,2,2578
0,1,1340
0,21,219
0,6,447
0,55,282
0,7,597
0,27,497
0,5,886
0,9,379
0,157,3
0,15,328
0,13,194
0,18,530
0,84,49
0,39,81
0,82,59
0,3,427
0,36,79
0,58,20
0,11,247
0,32,188
0,12,649
0,30,296
0,57,189
0,67,55
0,44,58
0,20,173
0,34,57
0,16,138
0,25,90
0,35,45
0,51,108
0,24,416
0,99,13
0,62,36
0,29,108
0,98,5
0,14,87
0,48,33
0,23,69
0,10,159
0,74,8
0,52,45
0,33,182
0,45,118
0,4,252
0,40,37
0,91,8
0,64,21
0,47,25
0,8,146
0,50,68
0,31,140
0,63,65
0,90,12
0,70,12
0,38,64
0,53,113
0,42,80
0,54,104
0,37,51
0,66,17
0,59,16
0,28,87
0,83,11
0,41,58
0,87,13
0,75,40
0,49,40
0,86,12
0,60,33
0,106,9
0,76,19
0,102,9
0,85,10
0,109,5
0,78,17
0,133,2
0,22,38
0,73,25
0,113,5
0,88,8
0,161,1
0,19,43
0,56,39
0,69,24
0,79,8
0,65,16
0,97,9
0,17,17
0,68,32
0,26,27
0,43,31
0,46,26
0,77,9
0,140,1
0,71,16
0,137,3
0,118,2
0,94,12
0,96,4
0,180,1
0,92,6
0,81,5
0,175,1
0,170,1
0,159,2
0,61,16
0,131,4
0,125,1
0,143,2
0,128,2
0,114,5
0,89,8
0,93,3
0,105,6
0,100,3
0,121,2
0,108,2
0,110,5
0,139,1
0,126,1
0,123,2
0,104,3
0,169,1
0,135,3
