Source,Target,Weight
32,22,5
32,85,4
32,1,626
32,5,210
32,55,11
32,34,64
32,0,1032
32,2,123
32,70,15
32,7,40
32,18,31
32,9,23
32,4,168
32,36,20
32,31,12
32,14,107
32,56,17
32,101,2
32,38,5
32,43,25
32,23,16
32,12,35
32,48,6
32,29,2
32,17,53
32,64,10
32,67,3
32,39,42
32,27,84
32,91,2
32,10,44
32,13,159
32,15,204
32,21,62
32,11,10
32,41,22
32,6,89
32,54,8
32,46,4
32,73,4
32,47,12
32,52,8
32,81,8
32,45,14
32,61,3
32,65,5
32,28,24
32,82,10
32,16,6
32,44,4
32,83,9
32,68,5
32,74,3
32,66,3
32,62,6
32,35,8
32,57,10
32,8,13
32,53,4
32,49,14
32,20,3
32,107,1
32,26,26
32,58,8
32,51,7
32,93,5
32,72,3
32,116,3
32,42,20
32,3,8
32,76,3
32,33,9
32,141,1
32,59,1
32,71,2
32,108,2
32,30,14
32,37,7
32,69,11
32,24,7
32,109,3
32,114,4
32,84,2
32,19,9
32,98,2
32,79,8
32,63,3
32,105,1
32,89,2
32,80,2
32,95,1
32,60,9
32,103,1
32,166,1
32,152,1
32,110,6
32,50,2
32,87,1
32,77,1
32,75,3
32,78,2
32,40,1
32,96,1
32,144,2
32,104,1
32,125,1
32,138,1
32,113,1
32,111,1
32,122,1
32,157,1
32,100,1
32,140,1
22,3,1
22,2,8
22,14,2
22,12,8
22,5,5
22,1,8
22,55,2
22,17,2
22,37,4
22,99,1
22,36,1
22,20,4
22,10,14
22,45,7
22,59,6
22,70,3
22,7,9
22,30,2
22,15,5
22,43,2
22,35,3
22,6,3
22,11,2
22,38,2
22,0,13
22,60,2
22,53,1
22,4,8
22,56,1
22,65,1
22,9,3
22,33,5
22,106,3
22,16,3
22,31,1
22,24,2
22,66,1
22,32,1
22,28,1
22,23,6
22,18,1
22,69,2
22,13,1
22,52,1
22,27,1
22,42,1
22,29,1
22,75,1
22,40,1
22,41,1
22,86,1
13,1,743
13,15,182
13,27,57
13,44,8
13,0,811
13,24,13
13,149,1
13,2,80
13,21,49
13,12,32
13,48,8
13,47,12
13,5,229
13,14,136
13,17,45
13,30,10
13,10,72
13,6,106
13,62,8
13,23,19
13,60,6
13,32,191
13,34,48
13,26,7
13,4,387
13,36,24
13,56,14
13,39,79
13,28,24
13,18,18
13,153,1
13,46,4
13,112,4
13,35,21
13,70,20
13,77,4
13,41,34
13,75,7
13,55,17
13,121,2
13,89,1
13,76,14
13,22,13
13,71,8
13,81,9
13,19,13
13,31,6
13,69,16
13,65,5
13,3,10
13,20,1
13,78,2
13,53,13
13,52,13
13,79,8
13,33,7
13,72,9
13,7,35
13,152,1
13,80,2
13,116,1
13,108,5
13,113,2
13,45,19
13,130,1
13,87,5
13,42,7
13,123,2
13,58,12
13,82,5
13,106,2
13,8,8
13,64,5
13,11,10
13,148,2
13,9,11
13,49,17
13,109,2
13,61,2
13,37,9
13,25,2
13,73,7
13,134,1
13,124,2
13,122,2
13,84,3
13,86,2
13,43,16
13,99,1
13,93,7
13,51,3
13,90,2
13,63,4
13,16,5
13,57,9
13,163,1
13,38,4
13,103,1
13,40,5
13,142,1
13,68,6
13,54,3
13,110,2
13,156,1
13,175,1
13,66,2
13,98,1
13,114,1
13,111,1
13,119,1
13,74,1
13,50,2
13,162,1
13,205,1
13,29,3
13,83,3
13,101,2
13,88,1
13,91,1
13,67,3
13,92,1
13,96,1
13,59,4
13,117,1
13,135,1
1,32,717
1,79,49
1,0,5566
1,36,75
1,101,12
1,65,64
1,150,1
1,37,37
1,5,1431
1,2,1585
1,14,1147
1,13,1049
1,15,1005
1,91,15
1,34,282
1,47,199
1,43,211
1,62,69
1,63,148
1,39,218
1,12,255
1,10,211
1,4,1863
1,17,354
1,81,41
1,21,369
1,41,188
1,93,57
1,55,202
1,23,120
1,27,281
1,76,57
1,70,136
1,58,100
1,28,112
1,6,560
1,31,74
1,82,66
1,19,81
1,66,17
1,46,8
1,30,119
1,50,13
1,56,101
1,33,58
1,7,164
1,61,20
1,49,68
1,8,51
1,54,29
1,26,114
1,92,21
1,112,15
1,18,331
1,51,18
1,72,63
1,191,1
1,69,32
1,59,9
1,78,14
1,48,100
1,9,59
1,124,4
1,35,72
1,75,23
1,86,19
1,73,29
1,98,13
1,163,3
1,16,62
1,106,15
1,146,4
1,104,26
1,24,65
1,57,24
1,20,7
1,139,3
1,3,105
1,42,62
1,64,55
1,127,1
1,44,22
1,45,38
1,80,22
1,120,10
1,40,29
1,117,9
1,11,57
1,108,19
1,109,20
1,25,13
1,38,26
1,53,30
1,111,8
1,100,12
1,119,2
1,68,19
1,71,17
1,60,25
1,88,3
1,52,40
1,118,19
1,89,45
1,131,5
1,145,3
1,22,27
1,123,3
1,29,30
1,95,8
1,67,16
1,96,10
1,84,14
1,143,4
1,125,10
1,77,10
1,174,2
1,142,4
1,116,9
1,90,6
1,166,2
1,155,1
1,87,5
1,153,2
1,110,5
1,83,16
1,97,4
1,121,1
1,167,3
1,135,6
1,162,2
1,147,2
1,103,4
1,85,6
1,161,2
1,102,7
1,74,5
1,152,5
1,126,5
1,136,2
1,122,5
1,140,6
1,154,1
1,235,1
1,130,2
1,179,3
1,114,3
1,175,2
1,160,2
1,240,1
1,99,3
1,132,3
1,138,2
1,113,3
1,148,3
1,137,4
1,158,3
1,133,1
1,141,2
1,129,3
1,169,1
1,189,1
1,197,1
1,115,1
1,183,1
1,242,1
1,134,1
1,187,1
1,170,1
1,105,1
1,205,1
1,164,1
1,144,1
1,168,1
15,4,274
15,0,967
15,1,604
15,17,157
15,6,165
15,18,113
15,48,22
15,2,202
15,47,48
15,12,52
15,76,17
15,43,53
15,10,104
15,27,123
15,14,133
15,13,140
15,24,15
15,33,20
15,70,3
15,5,233
15,7,69
15,19,26
15,91,12
15,23,37
15,32,88
15,68,4
15,39,171
15,60,11
15,21,164
15,35,33
15,58,39
15,28,38
15,34,57
15,37,11
15,22,9
15,75,6
15,40,6
15,41,45
15,62,10
15,8,10
15,38,12
15,45,16
15,9,21
15,89,3
15,56,15
15,72,8
15,50,9
15,65,8
15,11,12
15,3,20
15,55,23
15,26,22
15,29,2
15,59,3
15,49,16
15,79,7
15,83,4
15,104,7
15,30,14
15,86,6
15,106,2
15,31,13
15,36,15
15,64,7
15,16,20
15,81,9
15,96,2
15,52,23
15,63,4
15,82,2
15,54,4
15,44,11
15,154,1
15,95,1
15,73,3
15,74,3
15,120,3
15,109,10
15,67,4
15,71,7
15,53,7
15,61,10
15,116,1
15,93,6
15,101,1
15,42,13
15,87,4
15,107,1
15,20,2
15,118,2
15,57,7
15,124,2
15,46,6
15,51,4
15,25,4
15,110,2
15,100,1
15,139,1
15,77,3
15,140,2
15,125,1
15,66,4
15,123,2
15,69,4
15,105,1
15,148,2
15,80,2
15,108,1
15,99,1
15,85,2
15,112,1
15,153,1
15,102,1
15,122,1
0,45,72
0,34,339
0,10,242
0,1,2647
0,32,479
0,23,61
0,2,1358
0,49,65
0,4,391
0,43,179
0,5,1027
0,42,103
0,27,270
0,58,107
0,3,279
0,17,190
0,48,124
0,19,99
0,6,491
0,18,162
0,55,90
0,7,447
0,31,117
0,44,52
0,30,96
0,15,532
0,13,311
0,21,434
0,39,160
0,82,13
0,8,152
0,26,162
0,14,760
0,28,91
0,57,32
0,12,272
0,70,127
0,16,148
0,71,12
0,62,23
0,11,98
0,66,32
0,9,148
0,60,54
0,35,53
0,22,31
0,41,67
0,33,64
0,81,29
0,101,6
0,24,68
0,29,29
0,52,48
0,79,21
0,50,51
0,47,101
0,68,27
0,53,47
0,147,1
0,80,16
0,61,18
0,37,36
0,93,4
0,38,76
0,77,20
0,91,14
0,63,21
0,25,37
0,96,3
0,99,3
0,64,35
0,54,32
0,78,21
0,36,40
0,76,40
0,56,47
0,87,9
0,110,9
0,103,1
0,73,26
0,85,12
0,83,33
0,112,6
0,111,1
0,100,4
0,72,21
0,46,19
0,86,26
0,124,3
0,75,12
0,94,3
0,69,22
0,74,12
0,129,1
0,109,11
0,84,8
0,40,38
0,67,20
0,20,21
0,95,4
0,97,4
0,90,13
0,105,4
0,98,5
0,92,8
