HEADER
game=Dark Souls III,number=80
DATA
user_id,game_id,game_name,category_id,category_name,position
qjnm2628,k6qg0xdg,Dark Souls III,jdz6v9v2,Any% Glitchless,2
qjnm2628,k6qg0xdg,Dark Souls III,xk9r81gk,All Bosses (No DLC),1
qjnm2628,k6qg0xdg,Dark Souls III,n2y143z2,Any%,1
qjnm2628,k6qg0xdg,Dark Souls III,xk9lx0gk,Any% No TearDrop,2
qjnm2628,k6qg0xdg,Dark Souls III,7kjz1ond,All Bosses,3
qjnm2628,w6jve26j,Dark Souls,9d86vww2,Any%,14
qjnm2628,76rqmld8,Hollow Knight,02q8o4p2,Any%,117
8wk3m7v8,k6qg0xdg,Dark Souls III,n2y143z2,Any%,2
8wk3m7v8,v1pxz946,暖雪 Warm Snow,7dgyx8xd,Any Snow NMG,6
8wk3m7v8,o1y9zk26,Sekiro: Shadows Die Twice,w20vw6zk,Shura,22
jo3zrw3j,k6qg0xdg,Dark Souls III,jdzvw3xk,Any% Current Patch,3
jo3zrw3j,k6qg0xdg,Dark Souls III,n2y143z2,Any%,3
jo3zrw3j,2682o56p,H1Z1,02qr55pk,3 player game,1
jo3zrw3j,2682o56p,H1Z1,02qr55pk,3 player game,1
jo3zrw3j,2682o56p,H1Z1,02qr55pk,3 player game,1
y8dzp1lj,k6qg0xdg,Dark Souls III,n2y143z2,Any%,4
y8dzp1lj,76rkwed8,NieR: Automata,zd360xvd,[E],5
y8dzp1lj,76rkwed8,NieR: Automata,xd1erv42,[A],15
y8dzp1lj,k6qg0xdg,Dark Souls III,xk9lx0gk,Any% No TearDrop,24
y8dzp1lj,k6qg0xdg,Dark Souls III,7kjz1ond,All Bosses,30
kj9q4or8,o1y9j9v6,Celeste,7kjpl1gk,Any%,12
kj9q4or8,o1y9j9v6,Celeste,5dw5q7gd,B-Side,9
kj9q4or8,o1y9j9v6,Celeste,7dgr144k,Clear,6
kj9q4or8,k6qg0xdg,Dark Souls III,7kjz1ond,All Bosses,2
kj9q4or8,o1y9j9v6,Celeste,5dw5q7gd,B-Side,10
kj9q4or8,j1ne9me1,Celeste Category Extensions,9d8gyx7k,NG+,1
kj9q4or8,o1y9j9v6,Celeste,7dgr144k,Clear,20
kj9q4or8,m1mnog4d,Plushie from the Sky,n2ynj51k,Demo Any%,1
kj9q4or8,o1y9j9v6,Celeste,7dgr144k,Clear,32
kj9q4or8,o1y9j9v6,Celeste,7dgr144k,Clear,30
kj9q4or8,o1y9j9v6,Celeste,7dgr144k,Clear,61
kj9q4or8,k6qg0xdg,Dark Souls III,n2y143z2,Any%,5
