HEADER
game=CraftRise,number=66
DATA
user_id,game_id,game_name,category_id,category_name,position
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,vdoxx41d,Lobby Parkour,1
j963q47j,kdkzwpgd,CraftRise,vdoxx41d,Lobby Parkour,1
j963q47j,kdkzwpgd,CraftRise,vdoxx41d,Lobby Parkour,1
j963q47j,kdkzwpgd,CraftRise,vdoxx41d,Lobby Parkour,1
j963q47j,m1mxnw46,Minecraft In a Nutshell,vdoov69d,Any%,1
j963q47j,kdkzwpgd,CraftRise,wkp9y182,The Bridge,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,4
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,3
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,n2y99m1d,Sky Wars,4
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,wkp9y182,The Bridge,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,n2y99m1d,Sky Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,rkl335nk,Bed Wars,1
j963q47j,kdkzwpgd,CraftRise,7kjorxn2,Dragon Escape,1
j963q47j,kdkzwpgd,CraftRise,7kjorxn2,Dragon Escape,1
j963q47j,kdkzwpgd,CraftRise,7kjorxn2,Dragon Escape,1
j963q47j,kdkzwpgd,CraftRise,7kjorxn2,Dragon Escape,1
j963q47j,kdkzwpgd,CraftRise,n2y99m1d,Sky Wars,1
j963q47j,kdkzwpgd,CraftRise,wkp9y182,The Bridge,2
j963q47j,kdkzwpgd,CraftRise,n2y99m1d,Sky Wars,1
j963q47j,m1mxnw46,Minecraft In a Nutshell,xd1exg82,All signs,2
j963q47j,268er7y6,Slither.io Category Extensions,wdmvpg3d,10 Kills AI,1
j963q47j,268er7y6,Slither.io Category Extensions,w20x9jo2,1,000 Mass AI,2
j963q47j,268er7y6,Slither.io Category Extensions,vdoxew9d,10th Place AI,2
j963q47j,268er7y6,Slither.io Category Extensions,ndx5vzvk,10 Deaths AI,2
j963q47j,kdkzwpgd,CraftRise,9d8eeqqd,Egg Wars,1
j963q47j,kdkzwpgd,CraftRise,9d8eeqqd,Egg Wars,1
j963q47j,268er7y6,Slither.io Category Extensions,zdnn46ed,High Score AI,21
j963q47j,268er7y6,Slither.io Category Extensions,7dg0vllk,10,000 Mass AI,3
j963q47j,kdkzwpgd,CraftRise,9kv66ve2,UHC Meetup,2
j963q47j,268er7y6,Slither.io Category Extensions,wkp0w682,First Place AI,2
j963q47j,kdkzwpgd,CraftRise,n2y99m1d,Sky Wars,1
j963q47j,kdkzwpgd,CraftRise,wkp9y182,The Bridge,3
j963q47j,kdkzwpgd,CraftRise,n2y99m1d,Sky Wars,1
j963q47j,kdkzwpgd,CraftRise,9d8eeqqd,Egg Wars,1
