game_name,game_id,category_name,category_id,date,user_id,run_id,time
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-06-30T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-07-07T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-07-14T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-07-21T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-07-28T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-08-04T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-08-11T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-08-18T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-08-25T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-09-01T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-09-08T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-09-15T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-09-22T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-09-29T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-10-06T00:00:00,e8eepzo8,7z08q4m5,6544
Super Mario 64,o1y9wo6q,120 Star,wkpoo02r,1996-10-13T00:00:00,e8eepzo8,7z08q4m5,6544
