game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-08-25T00:00:00,j511epw8,y8xdq4wm,1288
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-09-01T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-09-08T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-09-15T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-09-22T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-09-29T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-10-06T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-10-13T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-10-20T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-10-27T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-11-03T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-11-10T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-11-17T00:00:00,j511epw8,y2exg95y,1145.82
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-11-24T00:00:00,kj9nlmv8,m7xrd14y,1053
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-12-01T00:00:00,kj9nlmv8,m7xrd14y,1053
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-12-08T00:00:00,kj9nlmv8,m7xrd14y,1053
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-12-15T00:00:00,kj9nlmv8,m7xrd14y,1053
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-12-22T00:00:00,kj9nlmv8,m7xrd14y,1053
Jacktus Green: The Fluffy, the Spiky and the Spicy,o1yjwnk1,Any%,7dg1qe7d,None,2022-12-29T00:00:00,kj9nlmv8,m7xrd14y,1053
