game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-02-23T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-03-02T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-03-09T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-03-16T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-03-23T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-03-30T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-04-06T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-04-13T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-04-20T00:00:00,8dw2gzlj,y6nelj1z,163.35
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-04-27T00:00:00,8g5m0lyj,y9v2r3km,95.4
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-05-04T00:00:00,8g5m0lyj,y9v2r3km,95.4
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-05-11T00:00:00,8g5m0lyj,y9v2r3km,95.4
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-05-18T00:00:00,8gmr4o18,y60d4jjy,74.02
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-05-25T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-06-01T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-06-08T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-06-15T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-06-22T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-06-29T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-07-06T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-07-13T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-07-20T00:00:00,8gmr4o18,zq7v0v5m,72.08
Within Yourself,pd0qzgw1,Any%,jdrnn5nk,None,2022-07-27T00:00:00,8gmr4o18,zq7v0v5m,72.08
