game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-01-23T00:00:00,x72wn608,z50ov8ny,445.51
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-01-30T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-02-06T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-02-13T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-02-20T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-02-27T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-03-06T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-03-13T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-03-20T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-03-27T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-04-03T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-04-10T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-04-17T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-04-24T00:00:00,jnz642dj,z507v65y,373
Terraforming Mars,k6q4emmd,Max parameters (TR63 OFF, expansions OFF),xd145g7d,None,2021-05-01T00:00:00,jnz642dj,z507v65y,373
