game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2021-11-30T00:00:00,jmoz0m48,zn7wrdvm,3921
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2021-12-07T00:00:00,jmoz0m48,mejk4r0y,3850
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2021-12-14T00:00:00,jmoz0m48,mejk4r0y,3850
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2021-12-21T00:00:00,jmoz0m48,zp20j9xy,3469
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2021-12-28T00:00:00,jmoz0m48,zp20j9xy,3469
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-01-04T00:00:00,jmoz0m48,zp20j9xy,3469
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-01-11T00:00:00,jmoz0m48,y9l3l9vy,3347
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-01-18T00:00:00,jmoz0m48,ywjjd4pz,3234
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-01-25T00:00:00,jmoz0m48,z5vxp0em,3082
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-02-01T00:00:00,jmoz0m48,m7w0qj0z,2870
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-02-08T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-02-15T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-02-22T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-03-01T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-03-08T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-03-15T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-03-22T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-03-29T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-04-05T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-04-12T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-04-19T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-04-26T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-05-03T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-05-10T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-05-17T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-05-24T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-05-31T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-06-07T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-06-14T00:00:00,zxzvyl9j,z5vkd6dm,2771
Greak: Memories of Azur,w6j7emx6,All Main Quests,ndx3zord,None,2022-06-21T00:00:00,zxzvyl9j,z5vkd6dm,2771
