game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-10-08T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-10-15T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-10-22T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-10-29T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-11-05T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-11-12T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-11-19T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-11-26T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-12-03T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-12-10T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-12-17T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-12-24T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Bad ending,wkprm0j2,None,2022-12-31T00:00:00,jp4e9pyj,mrrxnngm,1197.917
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-10-08T00:00:00,jopoz53x,z1gn36gz,1895
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-10-15T00:00:00,jopoz53x,z1gn36gz,1895
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-10-22T00:00:00,jopoz53x,z1gn36gz,1895
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-10-29T00:00:00,jopoz53x,z1gn36gz,1895
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-11-05T00:00:00,jp4e9pyj,yjd7rlny,1327.367
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-11-12T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-11-19T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-11-26T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-12-03T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-12-10T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-12-17T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-12-24T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
The Bathhouse | 地獄銭湯,4d7njlr6,Good ending,vdonmx6k,None,2022-12-31T00:00:00,jp4e9pyj,yl1wlj2m,1257.017
