game_name,game_id,category_name,category_id,date,user_id,run_id,time
Subway Surfers,y65797de,No Coins,n2y350ed,2016-09-15T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-09-22T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-09-29T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-10-06T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-10-13T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-10-20T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-10-27T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-11-03T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-11-10T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-11-17T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-11-24T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-12-01T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-12-08T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-12-15T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-12-22T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2016-12-29T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2017-01-05T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2017-01-12T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2017-01-19T00:00:00,jnp2n2d8,yd114nwy,65.84
Subway Surfers,y65797de,No Coins,n2y350ed,2017-01-26T00:00:00,jnp2n2d8,yd114nwy,65.84
