community_num,num_games,num_games_zscore
0,24070,9.657299138076045
1,4653,1.766059660314935
2,1294,0.40093253430166975
3,46,-0.10626563576815906
4,20,-0.11683226431128049
5,17,-0.11805149068164066
6,16,-0.1184578994717607
7,13,-0.11967712584212087
8,13,-0.11967712584212087
9,12,-0.12008353463224093
10,8,-0.12170916979272114
11,8,-0.12170916979272114
12,7,-0.12211557858284121
13,7,-0.12211557858284121
14,7,-0.12211557858284121
15,7,-0.12211557858284121
16,6,-0.12252198737296126
17,6,-0.12252198737296126
18,6,-0.12252198737296126
19,5,-0.12292839616308132
20,5,-0.12292839616308132
21,5,-0.12292839616308132
22,5,-0.12292839616308132
23,5,-0.12292839616308132
24,5,-0.12292839616308132
25,5,-0.12292839616308132
26,5,-0.12292839616308132
27,4,-0.12333480495320137
28,4,-0.12333480495320137
29,4,-0.12333480495320137
30,4,-0.12333480495320137
31,4,-0.12333480495320137
32,4,-0.12333480495320137
33,4,-0.12333480495320137
34,4,-0.12333480495320137
35,4,-0.12333480495320137
36,3,-0.12374121374332142
37,3,-0.12374121374332142
38,3,-0.12374121374332142
39,3,-0.12374121374332142
40,3,-0.12374121374332142
41,3,-0.12374121374332142
42,3,-0.12374121374332142
43,3,-0.12374121374332142
44,3,-0.12374121374332142
45,3,-0.12374121374332142
46,3,-0.12374121374332142
47,3,-0.12374121374332142
48,3,-0.12374121374332142
49,3,-0.12374121374332142
50,3,-0.12374121374332142
51,3,-0.12374121374332142
52,3,-0.12374121374332142
53,3,-0.12374121374332142
54,3,-0.12374121374332142
55,3,-0.12374121374332142
56,3,-0.12374121374332142
57,3,-0.12374121374332142
58,2,-0.12414762253344148
59,2,-0.12414762253344148
60,2,-0.12414762253344148
61,2,-0.12414762253344148
62,2,-0.12414762253344148
63,2,-0.12414762253344148
64,2,-0.12414762253344148
65,2,-0.12414762253344148
66,2,-0.12414762253344148
67,2,-0.12414762253344148
68,2,-0.12414762253344148
69,2,-0.12414762253344148
70,2,-0.12414762253344148
71,2,-0.12414762253344148
72,2,-0.12414762253344148
73,2,-0.12414762253344148
74,2,-0.12414762253344148
75,2,-0.12414762253344148
76,2,-0.12414762253344148
77,2,-0.12414762253344148
78,2,-0.12414762253344148
79,2,-0.12414762253344148
80,2,-0.12414762253344148
81,2,-0.12414762253344148
82,2,-0.12414762253344148
83,2,-0.12414762253344148
84,2,-0.12414762253344148
85,2,-0.12414762253344148
86,2,-0.12414762253344148
87,2,-0.12414762253344148
88,2,-0.12414762253344148
89,2,-0.12414762253344148
90,2,-0.12414762253344148
91,2,-0.12414762253344148
92,2,-0.12414762253344148
93,2,-0.12414762253344148
94,2,-0.12414762253344148
95,2,-0.12414762253344148
96,2,-0.12414762253344148
97,2,-0.12414762253344148
98,2,-0.12414762253344148
