id,cluster_num
k6q4rqzd,1
j1ne0vl1,1
3dx2j9y1,1
nd285r3d,1
j1ll47v1,1
o1yj5n21,1
w6jl9o5d,0
9dowpxm1,1
m1zjnrm6,1
o1y7pv1q,1
yd4kwop6,1
9do84qm1,1
nd2e3lvd,1
j1lqr746,1
j1ne40l1,1
kdkz55xd,1
nd2erm5d,1
9do8lpk1,1
y655o586,1
nd28x53d,1
j1nk8x1p,1
pdv289r6,1
369j481l,1
3dxwq41y,1
j1ll50j1,1
268wwjo6,1
w6j7er46,1
ldelvl63,1
kdkz7qqd,1
yd4o24g1,1
9d3rn00d,1
j1ljyzdg,1
46w3eel1,1
o1y9pyk6,1
nd28ekqd,1
yd43p51e,1
o1y92yr6,1
ldejq7x1,1
4d79nqn1,1
y654px8d,1
kdknmqdm,1
9d38p3y1,0
pd0w0701,1
j1n8m7w1,1
w6j7wx26,0
o1yjjo21,1
pdvzyn96,1
o1yj3v41,1
268wpp96,1
pd0py36e,1
9dowpv71,1
yd4k8ok6,1
76rqeld8,1
pdvlzo1w,1
9dow05o1,1
o6gn7291,1
v1px0x46,1
yd4oljx1,1
76r2nvd8,1
9d387g91,1
46w0n91r,1
9d388491,1
w6jl3oxd,1
m1zke3x1,1
k6q4399d,1
yd4xjx1e,1
j1llrpz1,1
ldewjld3,1
v1pxxz68,2
46wkwq6r,1
4d7nexl6,1
268elpk6,1
yd4o9l51,1
4d79n3n1,1
w6jmm26j,2
4d7n0y36,1
4d7n9j36,1
j1nwl91p,1
9d3rnedl,1
k6qwl8x6,1
j1n07edp,1
j1n8mx91,1
9d382201,1
y654r48d,1
o1yjz421,1
w6jlw74d,1
268w94o6,1
ldej3o51,1
ldeolx63,2
9d39y9dl,1
yd4o9x1e,1
9dow0go1,1
k6qwr096,1
268xm51p,1
k6qrkm1g,1
4d797l31,1
m1mn733d,1
kdkzrkxd,2
m1zjejm6,1
l3dx0vdy,2
9d3vjg6l,1
pdvzqqk6,1
kdkzvzld,1
m1m7g412,1
k6qwkz6g,1
pd0ngw1e,1
o1y9wo6q,2
m1zkv3m1,1
kdkzmvxd,1
o1y9j9v6,2
l3dx5v1y,2
v1pxj376,1
pd0w4w21,1
46w33l1r,1
pd0wg21e,1
m1mx0ox6,2
m1zk5m01,1
3dxkv7v1,1
m1mnmykd,1
w6jlkoed,1
3dxz7p1y,1
j1n29w1p,1
pdvzywv6,1
9do8mm1p,1
v1pxo5m6,1
36983e3d,1
76r374l6,1
36982j8d,1
9d3mn96l,1
46w27j36,1
lde7nn13,1
lde3k2x6,1
y655lr86,1
kdk7wl1m,0
v1ponx76,2
nd2e9erd,1
76rxp9q6,1
y654930d,1
m1zk7231,1
76rxy346,1
9do83yk1,1
kdkz852d,1
pd0wxq31,1
v1po25p6,1
kdkzlgdm,1
m1mxvyx6,1
pdvvl4dw,1
268q8o6p,1
m1z53x10,1
j1np4l6p,2
9d3r4ogd,1
o1yj2po1,1
nd283med,1
268yw5dp,2
kdkzlxqd,1
nd28k2ed,1
om1mx362,2
k6q459zd,1
j1llk0v1,1
9do8rp71,1
yd4kg9p6,1
o1yj2nr1,1
9do87ve1,1
w6j70ex6,1
369pj3g1,1
k6q474zd,1
kdkz83gd,1
m1mxgnp6,1
y655og06,1
4d7nkkr6,1
j1llx271,1
v1pxgjz6,1
lde30nj6,1
268lvo1p,2
j1ne5891,2
3dx2oo51,1
l3dxogdy,1
pd0wx0l1,1
lde394l6,1
pdvz5x96,1
m1mx4y46,1
pd0w79v1,1
46wynndr,1
v1px7jm6,1
m1mx2qj6,1
j1llwz1g,1
46w39jl1,1
j1n8yew1,1
lde33ge6,2
pdvz9v46,1
ldep0513,0
4d794qg1,1
pd0yy36e,1
j1n48l6p,1
9d385vg1,1
j1nepxy1,1
nd2vpq10,1
4d70mn17,1
9do8lq71,1
kdkmp8g1,1
j1ne0qx1,1
k6qwqro6,1
lde5ljd3,1
9d3rm40d,1
j1lp0edg,1
v1poooz6,1
46w3pn31,1
w6jlkled,1
46w3grq1,0
j1lvy7dg,1
v1pxpw86,1
kdkzrx2d,1
9doww431,1
pd0w3r31,1
j1nen9x1,1
9d38wo91,1
4d790zr1,1
lde35gl6,1
pd0wexv1,1
o6gno251,1
k6q4380d,1
76r3o2e6,1
nd2eem3d,1
46w32l1r,0
76rxjrq6,1
o6gnn7o1,1
9do83e71,1
lde357x6,1
kdkzo5qd,2
yo1yo26q,1
y65jv7de,1
4d79wjl1,1
pd0qv8v1,1
w6j7n326,1
y65420de,2
k6q4p8zd,1
ldejenl1,1
268e3e96,1
w6jl25dj,1
m1zj20m6,0
9d3x5edl,1
j1l754dg,1
yd4ol751,1
ldejxon1,1
268r8k1p,1
m1zjml06,1
k6q43yzd,1
xv1pg718,2
nd2emevd,1
m1zj0336,1
m1zjpl36,1
76rxovv6,1
k6q43g0d,1
m1m2oxd2,2
o1yl7o6q,1
76r55vd8,2
m1zkqp31,1
j1lqo4z6,1
m9dok31p,2
yd4ljx1e,2
o1y3l46q,1
4d7npmz6,1
pdvzr8o6,1
4d7rml17,1
lde5y5d3,1
v1pxyn46,1
76r43l18,2
nd2e5yqd,1
yd4kmmg6,1
y658506e,1
o6gnxo51,1
pd0wq31e,2
w6jlo25d,1
9do8rjk1,1
3dx2mly1,1
76r3n0e6,1
j1npme6p,1
268w9jo6,1
j1n82r91,1
9d382xw1,1
j1n8n8x1,1
o1ymwk1q,2
nd2eoevd,2
36987lgd,1
j1n894e1,1
9d38k5g1,1
m1mxj8p6,1
9dowovo1,1
j1nez0x1,1
pdvzrzr6,1
pd0qmr31,1
v1po55z6,1
9d3rvzwd,1
m1zj39m6,1
3dx2nl41,1
9dowg031,1
v1pxemm6,1
kdkr5e6m,1
9d3rg9yd,1
y65ej76e,1
j1le3j6g,1
yd4k7nw6,1
o1yjq8o1,1
j1ne5my1,1
w6jrzxdj,1
j1np0w6p,1
j1n882y1,1
om1m3625,2
yd4ovvg1,1
j1lqp0e6,1
nd28xr5d,1
w6j7ke46,1
w6jl82ed,1
w6j9k4dj,1
m1mx5836,2
v1pxjz68,2
o6gl9kod,2
76r3ggv6,1
4d7zzr67,2
9do84p71,1
3dx22j51,1
76rxz468,1
4d79mmr1,1
pd0q9001,1
m1zjp806,1
pd0q3rv1,1
y655g906,1
v1pxjnm6,1
268w2o56,1
y6549o0d,1
ldejx0x1,1
pd0w2v1e,1
nd2ex53d,1
268w2v96,1
36983q0d,1
m1zjp406,2
m1z9l2d0,1
j1n84vw1,1
4pd0n31e,2
w6jy356j,2
nd28g83d,1
46w2l76r,1
46w382n1,1
v1pxgv76,1
v1pn5pd8,1
pdvznjv6,2
268e7n76,1
k6q49nzd,1
m1mm7x12,2
o6gnlwo1,1
y657jede,2
j1n8kwe1,1
w6j7eq46,1
3dx2w4y1,1
m1zk3x21,1
3dxkx9p1,1
pdvz0po6,1
nd2ekrvd,1
nd2eored,1
j1lqlov6,1
m1mnz9pd,1
46w2yyl6,1
o6gnkpn1,1
m1mo8p62,1
4d7nzg67,1
m1mxrx62,1
pdvm7vdw,1
j1lqpkv6,1
j1ne55e1,1
yd4ojyk1,1
9d3rr0dl,2
m1mmex12,2
76r8y5d8,2
j1lmgedg,2
268wxmk6,1
4d73n317,2
m1mnnojd,1
pd0qx2v1,1
j1l0qe1g,1
