Source,Target,Weight
0,2,72424
0,1,991989
0,17,49
0,4,277
0,3,780
0,20,32
0,37,20
0,6,205
0,9,39
0,60,3
0,5,356
0,19,23
0,21,8
0,28,15
0,10,48
0,78,2
0,33,26
0,7,42
0,59,4
0,12,35
0,75,4
0,25,9
0,27,44
0,38,5
0,51,3
0,83,1
0,64,5
0,32,2
0,66,1
0,11,50
0,30,2
0,8,73
0,67,3
0,39,1
0,26,11
0,48,5
0,13,10
0,36,3
0,22,16
0,15,28
0,42,3
0,16,6
0,53,3
0,89,3
0,31,5
0,65,1
0,80,6
0,14,12
0,18,6
0,24,1
0,61,1
0,81,2
0,35,3
0,50,3
0,54,3
0,43,3
0,46,3
0,41,3
2,1,71486
2,0,72595
2,6,4
2,10,2
2,12,2
2,5,13
2,4,4
2,33,1
2,37,1
2,3,70
1,0,992913
1,2,71310
1,3,1834
1,5,474
1,4,409
1,6,270
1,14,3
1,81,4
1,28,28
1,37,29
1,17,84
1,75,6
1,10,62
1,12,52
1,38,5
1,33,33
1,19,39
1,20,34
1,80,11
1,21,16
1,26,15
1,22,6
1,78,2
1,30,15
1,27,61
1,60,3
1,59,5
1,15,14
1,83,2
1,24,10
1,11,58
1,64,6
1,66,4
1,89,4
1,43,3
1,7,27
1,8,3
1,67,4
1,48,2
1,96,1
1,31,3
1,82,1
1,45,1
17,0,49
17,1,84
4,1,409
4,0,277
4,2,4
6,0,204
6,1,269
6,2,4
3,1,1834
3,0,780
3,2,70
20,1,34
20,0,32
37,1,29
37,2,1
37,0,20
9,0,39
60,1,3
60,0,3
5,1,474
5,0,356
5,2,13
19,1,39
19,0,23
21,1,16
21,0,8
28,1,28
28,0,15
10,1,62
10,0,48
10,2,2
78,1,2
78,0,2
33,1,33
33,0,26
33,2,1
7,0,42
7,1,27
12,0,35
12,1,52
12,2,2
59,1,5
59,0,4
14,0,12
14,1,3
81,1,4
81,0,2
75,1,6
75,0,4
38,1,5
38,0,5
80,1,11
80,0,6
26,0,11
26,1,15
25,0,9
22,0,16
22,1,6
30,1,15
30,0,2
27,0,44
27,1,61
15,0,28
15,1,14
83,0,1
83,1,2
24,1,10
24,0,1
11,0,50
11,1,58
64,1,6
64,0,5
66,1,4
66,0,1
51,0,3
89,1,4
89,0,3
43,0,3
43,1,3
8,0,73
8,1,3
67,0,3
67,1,4
48,1,2
48,0,5
96,1,1
31,0,5
31,1,3
82,1,1
32,0,2
39,0,1
13,0,10
36,0,3
42,0,3
16,0,6
53,0,3
65,0,1
45,1,1
18,0,6
61,0,1
35,0,3
50,0,3
54,0,3
46,0,3
41,0,3
